sample	samples	cancer type abbreviation	sample_type	ENSG00000175054.14	ENSG00000149554.12	ENSG00000108064.10
TCGA-CJ-4881-01	TCGA-CJ-4881-01	KIRC	Primary Tumor	3.018	1.221	2.623
TCGA-BP-4992-01	TCGA-BP-4992-01	KIRC	Primary Tumor	3.018	0.1519	0.6425
TCGA-CJ-4639-01	TCGA-CJ-4639-01	KIRC	Primary Tumor	3.016	2.828	4.508
TCGA-B4-5836-01	TCGA-B4-5836-01	KIRC	Primary Tumor	3.009	2.409	4.348
TCGA-BP-4989-01	TCGA-BP-4989-01	KIRC	Primary Tumor	3.009	2.208	2.488
TCGA-BP-4173-01	TCGA-BP-4173-01	KIRC	Primary Tumor	3.004	2.559	3.813
TCGA-BP-4169-01	TCGA-BP-4169-01	KIRC	Primary Tumor	3.004	1.705	3.847
TCGA-BP-4771-01	TCGA-BP-4771-01	KIRC	Primary Tumor	3.002	1.828	3.007
TCGA-B0-5110-01	TCGA-B0-5110-01	KIRC	Primary Tumor	3.002	1.692	4.508
TCGA-B8-A54H-01	TCGA-B8-A54H-01	KIRC	Primary Tumor	2.997	2.373	4.124
TCGA-CJ-4638-01	TCGA-CJ-4638-01	KIRC	Primary Tumor	2.997	1.412	1.799
TCGA-B2-3923-01	TCGA-B2-3923-01	KIRC	Primary Tumor	2.994	0.6455	3.877
TCGA-B0-4710-01	TCGA-B0-4710-01	KIRC	Primary Tumor	2.991	3.993	4.193
TCGA-B0-4714-01	TCGA-B0-4714-01	KIRC	Primary Tumor	2.989	0.8488	2.064
TCGA-CJ-5680-01	TCGA-CJ-5680-01	KIRC	Primary Tumor	2.986	1.856	4.499
TCGA-AK-3450-01	TCGA-AK-3450-01	KIRC	Primary Tumor	2.975	0.7832	3.618
TCGA-B2-4098-01	TCGA-B2-4098-01	KIRC	Primary Tumor	2.967	1.71	3.512
TCGA-BP-4334-01	TCGA-BP-4334-01	KIRC	Primary Tumor	2.966	0.7407	1.964
TCGA-BP-4971-01	TCGA-BP-4971-01	KIRC	Primary Tumor	2.966	0.4657	2.039
TCGA-DV-A4VZ-01	TCGA-DV-A4VZ-01	KIRC	Primary Tumor	2.966	-0.4521	2.342
TCGA-AK-3453-01	TCGA-AK-3453-01	KIRC	Primary Tumor	2.965	1.644	4.157
TCGA-CW-5587-01	TCGA-CW-5587-01	KIRC	Primary Tumor	2.964	1.647	4.549
TCGA-A3-3320-01	TCGA-A3-3320-01	KIRC	Primary Tumor	2.96	1.808	4.56
TCGA-CJ-4923-01	TCGA-CJ-4923-01	KIRC	Primary Tumor	2.96	1.77	2.848
TCGA-B0-4849-01	TCGA-B0-4849-01	KIRC	Primary Tumor	2.956	0.605	2.993
TCGA-B0-5710-01	TCGA-B0-5710-01	KIRC	Primary Tumor	2.953	2.221	3.886
TCGA-B0-5697-01	TCGA-B0-5697-01	KIRC	Primary Tumor	2.953	1.396	3.823
TCGA-BP-4341-01	TCGA-BP-4341-01	KIRC	Primary Tumor	2.947	1.245	2.296
TCGA-CJ-5686-01	TCGA-CJ-5686-01	KIRC	Primary Tumor	2.945	2.173	4.14
TCGA-DV-5573-01	TCGA-DV-5573-01	KIRC	Primary Tumor	2.943	2.785	3.847
TCGA-B0-4817-01	TCGA-B0-4817-01	KIRC	Primary Tumor	2.941	1.151	2.067
TCGA-A3-3370-01	TCGA-A3-3370-01	KIRC	Primary Tumor	2.934	2.905	4.317
TCGA-BP-4163-01	TCGA-BP-4163-01	KIRC	Primary Tumor	2.93	2.098	3.963
TCGA-AK-3451-01	TCGA-AK-3451-01	KIRC	Primary Tumor	2.926	0.9191	2.095
TCGA-B8-5552-01	TCGA-B8-5552-01	KIRC	Primary Tumor	2.924	2.018	4.155
TCGA-B0-4847-01	TCGA-B0-4847-01	KIRC	Primary Tumor	2.922	1.679	1.47
TCGA-B4-5838-01	TCGA-B4-5838-01	KIRC	Primary Tumor	2.921	2.941	3.875
TCGA-MW-A4EC-01	TCGA-MW-A4EC-01	KIRC	Primary Tumor	2.919	1.537	3.67
TCGA-A3-A8OW-01	TCGA-A3-A8OW-01	KIRC	Primary Tumor	2.917	0.8246	3.824
TCGA-CJ-6030-01	TCGA-CJ-6030-01	KIRC	Primary Tumor	2.913	2.008	3.891
TCGA-BP-4337-01	TCGA-BP-4337-01	KIRC	Primary Tumor	2.911	2.239	2.064
TCGA-B2-4101-01	TCGA-B2-4101-01	KIRC	Primary Tumor	2.909	2.436	3.834
TCGA-B0-5691-01	TCGA-B0-5691-01	KIRC	Primary Tumor	2.905	2.074	4.473
TCGA-A3-3349-01	TCGA-A3-3349-01	KIRC	Primary Tumor	2.903	2.254	3.985
TCGA-BP-5004-01	TCGA-BP-5004-01	KIRC	Primary Tumor	2.899	3.55	4.391
TCGA-A3-3319-01	TCGA-A3-3319-01	KIRC	Primary Tumor	2.895	2.571	3.692
TCGA-CJ-4886-01	TCGA-CJ-4886-01	KIRC	Primary Tumor	2.892	1.732	4.095
TCGA-B0-4843-01	TCGA-B0-4843-01	KIRC	Primary Tumor	2.892	0.537	1.736
TCGA-CJ-6032-01	TCGA-CJ-6032-01	KIRC	Primary Tumor	2.886	2.17	4.019
TCGA-B0-5713-01	TCGA-B0-5713-01	KIRC	Primary Tumor	2.88	2.607	4.147
TCGA-BP-5199-01	TCGA-BP-5199-01	KIRC	Primary Tumor	2.88	1.749	2.81
TCGA-BP-4995-01	TCGA-BP-4995-01	KIRC	Primary Tumor	2.876	1.368	4.395
TCGA-AK-3440-01	TCGA-AK-3440-01	KIRC	Primary Tumor	2.874	1.581	3.75
TCGA-B2-5636-01	TCGA-B2-5636-01	KIRC	Primary Tumor	2.874	1.098	4.615
TCGA-A3-3363-01	TCGA-A3-3363-01	KIRC	Primary Tumor	2.87	1.66	4.098
TCGA-AK-3445-01	TCGA-AK-3445-01	KIRC	Primary Tumor	2.862	2.526	3.159
TCGA-CJ-4875-01	TCGA-CJ-4875-01	KIRC	Primary Tumor	2.862	1.516	2.018
TCGA-BP-4346-01	TCGA-BP-4346-01	KIRC	Primary Tumor	2.858	2.757	3.563
TCGA-6D-AA2E-01	TCGA-6D-AA2E-01	KIRC	Primary Tumor	2.858	0.8883	3.557
TCGA-B4-5843-01	TCGA-B4-5843-01	KIRC	Primary Tumor	2.85	3.392	4.015
TCGA-B4-5377-01	TCGA-B4-5377-01	KIRC	Primary Tumor	2.85	2.278	4.861
TCGA-B0-5113-01	TCGA-B0-5113-01	KIRC	Primary Tumor	2.846	2.462	3.921
TCGA-BP-5196-01	TCGA-BP-5196-01	KIRC	Primary Tumor	2.844	2.299	2.913
TCGA-A3-3372-01	TCGA-A3-3372-01	KIRC	Primary Tumor	2.836	2.384	4.138
TCGA-CJ-4894-01	TCGA-CJ-4894-01	KIRC	Primary Tumor	2.834	3.479	4.194
TCGA-B0-5109-01	TCGA-B0-5109-01	KIRC	Primary Tumor	2.832	3.03	3.381
TCGA-BP-4998-01	TCGA-BP-4998-01	KIRC	Primary Tumor	2.83	2.272	4.256
TCGA-BP-4161-01	TCGA-BP-4161-01	KIRC	Primary Tumor	2.83	1.876	3.859
TCGA-A3-A6NI-01	TCGA-A3-A6NI-01	KIRC	Primary Tumor	2.828	2.534	3.199
TCGA-MM-A84U-01	TCGA-MM-A84U-01	KIRC	Primary Tumor	2.828	1.071	2.18
TCGA-B0-5400-01	TCGA-B0-5400-01	KIRC	Primary Tumor	2.822	1.252	1.941
TCGA-B8-A54I-01	TCGA-B8-A54I-01	KIRC	Primary Tumor	2.82	0.5955	1.196
TCGA-B0-4718-01	TCGA-B0-4718-01	KIRC	Primary Tumor	2.818	1.714	1.651
TCGA-B0-4834-01	TCGA-B0-4834-01	KIRC	Primary Tumor	2.818	0.4125	4.124
TCGA-BP-4330-01	TCGA-BP-4330-01	KIRC	Primary Tumor	2.814	2.084	3.809
TCGA-BP-5201-01	TCGA-BP-5201-01	KIRC	Primary Tumor	2.81	1.82	2.66
TCGA-B0-5399-01	TCGA-B0-5399-01	KIRC	Primary Tumor	2.808	2.311	3.41
TCGA-BP-4969-01	TCGA-BP-4969-01	KIRC	Primary Tumor	2.806	0.7321	2.422
TCGA-B0-5085-01	TCGA-B0-5085-01	KIRC	Primary Tumor	2.806	0.3796	0.9789
TCGA-EU-5905-01	TCGA-EU-5905-01	KIRC	Primary Tumor	2.803	2.597	3.906
TCGA-BP-4991-01	TCGA-BP-4991-01	KIRC	Primary Tumor	2.795	2.662	4.184
TCGA-B0-5100-01	TCGA-B0-5100-01	KIRC	Primary Tumor	2.791	1.071	2.025
TCGA-CZ-4857-01	TCGA-CZ-4857-01	KIRC	Primary Tumor	2.787	4.183	4.164
TCGA-A3-A8OU-01	TCGA-A3-A8OU-01	KIRC	Primary Tumor	2.787	1.915	3.612
TCGA-CJ-4892-01	TCGA-CJ-4892-01	KIRC	Primary Tumor	2.787	1.719	3.203
TCGA-A3-A6NJ-01	TCGA-A3-A6NJ-01	KIRC	Primary Tumor	2.787	1.39	3.76
TCGA-BP-4160-01	TCGA-BP-4160-01	KIRC	Primary Tumor	2.785	2.022	4.416
TCGA-CJ-4899-01	TCGA-CJ-4899-01	KIRC	Primary Tumor	2.785	1.941	3.947
TCGA-CJ-4912-01	TCGA-CJ-4912-01	KIRC	Primary Tumor	2.785	1.434	1.799
TCGA-DV-5565-01	TCGA-DV-5565-01	KIRC	Primary Tumor	2.78	0.1388	2.876
TCGA-BP-4766-01	TCGA-BP-4766-01	KIRC	Primary Tumor	2.772	2.991	4.209
TCGA-BP-4961-01	TCGA-BP-4961-01	KIRC	Primary Tumor	2.768	1.956	4.242
TCGA-BP-4983-01	TCGA-BP-4983-01	KIRC	Primary Tumor	2.766	4.164	3.855
TCGA-CZ-4854-01	TCGA-CZ-4854-01	KIRC	Primary Tumor	2.764	2.707	3.115
TCGA-B0-5106-01	TCGA-B0-5106-01	KIRC	Primary Tumor	2.761	0.7493	2.701
TCGA-A3-3331-01	TCGA-A3-3331-01	KIRC	Primary Tumor	2.757	2.559	3.602
TCGA-B0-5095-01	TCGA-B0-5095-01	KIRC	Primary Tumor	2.755	2.573	3.578
TCGA-AK-3455-01	TCGA-AK-3455-01	KIRC	Primary Tumor	2.751	0.7493	3.584
TCGA-B0-5117-01	TCGA-B0-5117-01	KIRC	Primary Tumor	2.751	0.3907	2.057
TCGA-BP-4353-01	TCGA-BP-4353-01	KIRC	Primary Tumor	2.747	3.343	3.905
TCGA-B0-5693-01	TCGA-B0-5693-01	KIRC	Primary Tumor	2.744	3.203	4.442
TCGA-B8-5550-01	TCGA-B8-5550-01	KIRC	Primary Tumor	2.744	2.245	3.743
TCGA-CJ-6028-01	TCGA-CJ-6028-01	KIRC	Primary Tumor	2.742	3.746	3.646
TCGA-B8-A54G-01	TCGA-B8-A54G-01	KIRC	Primary Tumor	2.742	2.141	3.54
TCGA-B2-5633-01	TCGA-B2-5633-01	KIRC	Primary Tumor	2.737	1.916	3.662
TCGA-B8-4621-01	TCGA-B8-4621-01	KIRC	Primary Tumor	2.736	1.892	3.818
TCGA-B8-5158-01	TCGA-B8-5158-01	KIRC	Primary Tumor	2.734	3.248	3.636
TCGA-BP-5183-01	TCGA-BP-5183-01	KIRC	Primary Tumor	2.731	2.789	3.871
TCGA-CJ-4908-01	TCGA-CJ-4908-01	KIRC	Primary Tumor	2.731	2.205	4.178
TCGA-BP-4765-01	TCGA-BP-4765-01	KIRC	Primary Tumor	2.727	2.128	4.23
TCGA-CJ-4920-01	TCGA-CJ-4920-01	KIRC	Primary Tumor	2.72	2.698	3.953
TCGA-B0-5077-01	TCGA-B0-5077-01	KIRC	Primary Tumor	2.72	2.248	3.637
TCGA-B0-4706-01	TCGA-B0-4706-01	KIRC	Primary Tumor	2.718	1.864	2.59
TCGA-B0-5709-01	TCGA-B0-5709-01	KIRC	Primary Tumor	2.714	2.544	4.292
TCGA-CZ-5465-01	TCGA-CZ-5465-01	KIRC	Primary Tumor	2.712	1.84	3.577
TCGA-B0-4846-01	TCGA-B0-4846-01	KIRC	Primary Tumor	2.712	1.71	4.496
TCGA-CW-5583-01	TCGA-CW-5583-01	KIRC	Primary Tumor	2.71	1.868	4.69
TCGA-AK-3456-01	TCGA-AK-3456-01	KIRC	Primary Tumor	2.71	1.317	4.27
TCGA-G6-A8L6-01	TCGA-G6-A8L6-01	KIRC	Primary Tumor	2.707	1.522	1.856
TCGA-CJ-5681-01	TCGA-CJ-5681-01	KIRC	Primary Tumor	2.705	2.876	4.485
TCGA-B0-5690-01	TCGA-B0-5690-01	KIRC	Primary Tumor	2.705	2.144	3.942
TCGA-CJ-4889-01	TCGA-CJ-4889-01	KIRC	Primary Tumor	2.698	1.609	3.985
TCGA-A3-3357-01	TCGA-A3-3357-01	KIRC	Primary Tumor	2.698	1.609	3.727
TCGA-BP-4325-01	TCGA-BP-4325-01	KIRC	Primary Tumor	2.696	2.98	4.335
TCGA-B0-5108-01	TCGA-B0-5108-01	KIRC	Primary Tumor	2.696	1.47	3.647
TCGA-CJ-4901-01	TCGA-CJ-4901-01	KIRC	Primary Tumor	2.694	2.254	3.228
TCGA-B0-4691-01	TCGA-B0-4691-01	KIRC	Primary Tumor	2.694	2.053	2.373
TCGA-A3-3313-01	TCGA-A3-3313-01	KIRC	Primary Tumor	2.694	1.923	4.46
TCGA-B0-4816-01	TCGA-B0-4816-01	KIRC	Primary Tumor	2.694	1.401	3.446
TCGA-B8-5545-01	TCGA-B8-5545-01	KIRC	Primary Tumor	2.69	2.526	4.496
TCGA-B0-4712-01	TCGA-B0-4712-01	KIRC	Primary Tumor	2.687	2.984	2.425
TCGA-B0-4703-01	TCGA-B0-4703-01	KIRC	Primary Tumor	2.685	2.87	3.851
TCGA-CJ-4916-01	TCGA-CJ-4916-01	KIRC	Primary Tumor	2.685	1.357	2.892
TCGA-CZ-5470-01	TCGA-CZ-5470-01	KIRC	Primary Tumor	2.678	2.067	2.846
TCGA-BP-4973-01	TCGA-BP-4973-01	KIRC	Primary Tumor	2.676	2.088	3.567
TCGA-B8-4622-01	TCGA-B8-4622-01	KIRC	Primary Tumor	2.676	2.081	3.974
TCGA-BP-4769-01	TCGA-BP-4769-01	KIRC	Primary Tumor	2.676	0.6239	3.676
TCGA-BP-4162-01	TCGA-BP-4162-01	KIRC	Primary Tumor	2.665	2.167	4.247
TCGA-BP-4774-01	TCGA-BP-4774-01	KIRC	Primary Tumor	2.662	2.029	3.491
TCGA-CJ-4902-01	TCGA-CJ-4902-01	KIRC	Primary Tumor	2.66	1.683	2.924
TCGA-B0-5097-01	TCGA-B0-5097-01	KIRC	Primary Tumor	2.658	4.03	4.235
TCGA-B8-A7U6-01	TCGA-B8-A7U6-01	KIRC	Primary Tumor	2.658	2.039	3.55
TCGA-B0-5075-01	TCGA-B0-5075-01	KIRC	Primary Tumor	2.658	1.476	3.465
TCGA-CW-5580-01	TCGA-CW-5580-01	KIRC	Primary Tumor	2.656	2.926	4.408
TCGA-CJ-5678-01	TCGA-CJ-5678-01	KIRC	Primary Tumor	2.656	2.526	2.414
TCGA-A3-3328-01	TCGA-A3-3328-01	KIRC	Primary Tumor	2.656	2.362	3.806
TCGA-BP-4345-01	TCGA-BP-4345-01	KIRC	Primary Tumor	2.656	1.723	2.894
TCGA-BP-4970-01	TCGA-BP-4970-01	KIRC	Primary Tumor	2.651	2.067	4.331
TCGA-CW-5581-01	TCGA-CW-5581-01	KIRC	Primary Tumor	2.646	2.167	4.692
TCGA-CJ-4890-01	TCGA-CJ-4890-01	KIRC	Primary Tumor	2.646	2.05	3.541
TCGA-A3-3307-01	TCGA-A3-3307-01	KIRC	Primary Tumor	2.644	2.098	4.144
TCGA-B0-4822-01	TCGA-B0-4822-01	KIRC	Primary Tumor	2.644	1.868	1.281
TCGA-EU-5904-01	TCGA-EU-5904-01	KIRC	Primary Tumor	2.644	1.112	4.011
TCGA-A3-3316-01	TCGA-A3-3316-01	KIRC	Primary Tumor	2.642	2.516	3.022
TCGA-BP-5010-01	TCGA-BP-5010-01	KIRC	Primary Tumor	2.642	1.118	1.766
TCGA-A3-A8OV-01	TCGA-A3-A8OV-01	KIRC	Primary Tumor	2.639	2.06	3.577
TCGA-BP-4798-01	TCGA-BP-4798-01	KIRC	Primary Tumor	2.637	0.9935	3.17
TCGA-A3-3382-01	TCGA-A3-3382-01	KIRC	Primary Tumor	2.635	3.128	4.213
TCGA-BP-4174-01	TCGA-BP-4174-01	KIRC	Primary Tumor	2.635	1.696	4.236
TCGA-B0-5698-01	TCGA-B0-5698-01	KIRC	Primary Tumor	2.632	1.164	3.867
TCGA-BP-4327-01	TCGA-BP-4327-01	KIRC	Primary Tumor	2.63	1.183	2.858
TCGA-A3-3329-01	TCGA-A3-3329-01	KIRC	Primary Tumor	2.623	1.705	3.368
TCGA-BP-4761-01	TCGA-BP-4761-01	KIRC	Primary Tumor	2.623	1.293	1.619
TCGA-BP-4756-01	TCGA-BP-4756-01	KIRC	Primary Tumor	2.621	1.029	3.717
TCGA-B4-5835-01	TCGA-B4-5835-01	KIRC	Primary Tumor	2.618	2.42	4.04
TCGA-BP-4797-01	TCGA-BP-4797-01	KIRC	Primary Tumor	2.618	1.787	3.925
TCGA-CZ-5462-01	TCGA-CZ-5462-01	KIRC	Primary Tumor	2.614	2.368	4.403
TCGA-B0-4700-01	TCGA-B0-4700-01	KIRC	Primary Tumor	2.611	2.331	2.595
TCGA-BP-4782-01	TCGA-BP-4782-01	KIRC	Primary Tumor	2.611	1.647	3.739
TCGA-A3-3311-01	TCGA-A3-3311-01	KIRC	Primary Tumor	2.609	2.799	4.463
TCGA-B0-5119-01	TCGA-B0-5119-01	KIRC	Primary Tumor	2.602	2.785	4.18
TCGA-B0-4818-01	TCGA-B0-4818-01	KIRC	Primary Tumor	2.602	0.8164	3.139
TCGA-A3-3346-01	TCGA-A3-3346-01	KIRC	Primary Tumor	2.597	2.934	3.131
TCGA-BP-4790-01	TCGA-BP-4790-01	KIRC	Primary Tumor	2.592	2.316	3.986
TCGA-BP-4965-01	TCGA-BP-4965-01	KIRC	Primary Tumor	2.59	2.368	4.563
TCGA-B8-5546-01	TCGA-B8-5546-01	KIRC	Primary Tumor	2.59	0.8805	4.605
TCGA-B0-5712-01	TCGA-B0-5712-01	KIRC	Primary Tumor	2.588	2.905	3.644
TCGA-B8-A54F-01	TCGA-B8-A54F-01	KIRC	Primary Tumor	2.588	2.749	4.139
TCGA-B0-5692-01	TCGA-B0-5692-01	KIRC	Primary Tumor	2.588	2.583	3.328
TCGA-CJ-5672-01	TCGA-CJ-5672-01	KIRC	Primary Tumor	2.588	1.945	2.997
TCGA-CJ-4903-01	TCGA-CJ-4903-01	KIRC	Primary Tumor	2.583	2.091	3.345
TCGA-CJ-4884-01	TCGA-CJ-4884-01	KIRC	Primary Tumor	2.578	2.272	3.269
TCGA-BP-4781-01	TCGA-BP-4781-01	KIRC	Primary Tumor	2.573	2.742	4.577
TCGA-CZ-5988-01	TCGA-CZ-5988-01	KIRC	Primary Tumor	2.571	3.945	3.983
TCGA-B4-5378-01	TCGA-B4-5378-01	KIRC	Primary Tumor	2.571	2.345	4.612
TCGA-DV-5576-01	TCGA-DV-5576-01	KIRC	Primary Tumor	2.571	1.779	4.18
TCGA-BP-4982-01	TCGA-BP-4982-01	KIRC	Primary Tumor	2.566	2.556	4.148
TCGA-BP-4963-01	TCGA-BP-4963-01	KIRC	Primary Tumor	2.563	3.231	3.944
TCGA-CZ-5985-01	TCGA-CZ-5985-01	KIRC	Primary Tumor	2.561	2.814	4.493
TCGA-CJ-4888-01	TCGA-CJ-4888-01	KIRC	Primary Tumor	2.561	2.157	3.151
TCGA-CZ-5463-01	TCGA-CZ-5463-01	KIRC	Primary Tumor	2.559	2.516	4.644
TCGA-BP-4167-01	TCGA-BP-4167-01	KIRC	Primary Tumor	2.549	1.252	2.008
TCGA-GK-A6C7-01	TCGA-GK-A6C7-01	KIRC	Primary Tumor	2.541	2.753	3.789
TCGA-CW-5584-01	TCGA-CW-5584-01	KIRC	Primary Tumor	2.536	3.057	4.325
TCGA-BP-5175-01	TCGA-BP-5175-01	KIRC	Primary Tumor	2.536	0.7916	0.8647
TCGA-3Z-A93Z-01	TCGA-3Z-A93Z-01	KIRC	Primary Tumor	2.531	1.975	3.029
TCGA-A3-3373-01	TCGA-A3-3373-01	KIRC	Primary Tumor	2.524	2.483	4.422
TCGA-B8-A54J-01	TCGA-B8-A54J-01	KIRC	Primary Tumor	2.524	1.609	3.51
TCGA-BP-4349-01	TCGA-BP-4349-01	KIRC	Primary Tumor	2.524	1.064	2.678
TCGA-CZ-4864-01	TCGA-CZ-4864-01	KIRC	Primary Tumor	2.519	2.379	4.155
TCGA-CW-6088-01	TCGA-CW-6088-01	KIRC	Primary Tumor	2.519	1.656	4.777
TCGA-B8-5163-01	TCGA-B8-5163-01	KIRC	Primary Tumor	2.516	2.694	3.922
TCGA-BP-4347-01	TCGA-BP-4347-01	KIRC	Primary Tumor	2.516	2.644	3.976
TCGA-A3-3325-01	TCGA-A3-3325-01	KIRC	Primary Tumor	2.514	1.892	3.728
TCGA-B0-4828-01	TCGA-B0-4828-01	KIRC	Primary Tumor	2.511	1.288	2.313
TCGA-AS-3778-01	TCGA-AS-3778-01	KIRC	Primary Tumor	2.499	2.531	4.045
TCGA-B2-5635-01	TCGA-B2-5635-01	KIRC	Primary Tumor	2.494	1.05	3.174
TCGA-B0-5096-01	TCGA-B0-5096-01	KIRC	Primary Tumor	2.483	3.717	4.531
TCGA-DV-5574-01	TCGA-DV-5574-01	KIRC	Primary Tumor	2.483	1.77	3.386
TCGA-CZ-4865-01	TCGA-CZ-4865-01	KIRC	Primary Tumor	2.48	1.623	3.796
TCGA-A3-3365-01	TCGA-A3-3365-01	KIRC	Primary Tumor	2.475	2.078	4.234
TCGA-CJ-4887-01	TCGA-CJ-4887-01	KIRC	Primary Tumor	2.475	1.88	2.452
TCGA-CJ-4635-01	TCGA-CJ-4635-01	KIRC	Primary Tumor	2.473	3.856	3.786
TCGA-AK-3454-01	TCGA-AK-3454-01	KIRC	Primary Tumor	2.471	2.278	2.979
TCGA-B0-5705-01	TCGA-B0-5705-01	KIRC	Primary Tumor	2.467	2.493	4.079
TCGA-B0-4844-01	TCGA-B0-4844-01	KIRC	Primary Tumor	2.467	1.628	1.787
TCGA-CJ-5683-01	TCGA-CJ-5683-01	KIRC	Primary Tumor	2.457	2.393	3.082
TCGA-B0-5088-01	TCGA-B0-5088-01	KIRC	Primary Tumor	2.452	1.008	2.257
TCGA-CW-5590-01	TCGA-CW-5590-01	KIRC	Primary Tumor	2.449	2.025	3.233
TCGA-BP-4165-01	TCGA-BP-4165-01	KIRC	Primary Tumor	2.444	1.196	2.337
TCGA-B0-5104-01	TCGA-B0-5104-01	KIRC	Primary Tumor	2.441	2.269	4.064
TCGA-DV-5568-01	TCGA-DV-5568-01	KIRC	Primary Tumor	2.441	1.164	2.72
TCGA-BP-4787-01	TCGA-BP-4787-01	KIRC	Primary Tumor	2.439	1.967	3.653
TCGA-AK-3447-01	TCGA-AK-3447-01	KIRC	Primary Tumor	2.439	-0.6873	3.149
TCGA-A3-3324-01	TCGA-A3-3324-01	KIRC	Primary Tumor	2.436	3.16	3.929
TCGA-MM-A564-01	TCGA-MM-A564-01	KIRC	Primary Tumor	2.436	1.351	1.762
TCGA-BP-4987-01	TCGA-BP-4987-01	KIRC	Primary Tumor	2.422	2.365	3.913
TCGA-BP-4981-01	TCGA-BP-4981-01	KIRC	Primary Tumor	2.422	0.9716	1.396
TCGA-BP-5007-01	TCGA-BP-5007-01	KIRC	Primary Tumor	2.42	1.444	3.234
TCGA-B0-5102-01	TCGA-B0-5102-01	KIRC	Primary Tumor	2.417	2.091	3.138
TCGA-CZ-5464-01	TCGA-CZ-5464-01	KIRC	Primary Tumor	2.417	2.036	3.205
TCGA-BP-4763-01	TCGA-BP-4763-01	KIRC	Primary Tumor	2.412	3.383	4.021
TCGA-BP-4986-01	TCGA-BP-4986-01	KIRC	Primary Tumor	2.412	2.266	3.869
TCGA-B8-5165-01	TCGA-B8-5165-01	KIRC	Primary Tumor	2.412	1.949	4.587
TCGA-DV-5566-01	TCGA-DV-5566-01	KIRC	Primary Tumor	2.404	2.541	3.208
TCGA-BP-4776-01	TCGA-BP-4776-01	KIRC	Primary Tumor	2.401	1.209	1.836
TCGA-BP-4344-01	TCGA-BP-4344-01	KIRC	Primary Tumor	2.395	1.74	3.984
TCGA-BP-5009-01	TCGA-BP-5009-01	KIRC	Primary Tumor	2.382	1.233	2.568
TCGA-AK-3465-01	TCGA-AK-3465-01	KIRC	Primary Tumor	2.379	0.3115	3.644
TCGA-CJ-4893-01	TCGA-CJ-4893-01	KIRC	Primary Tumor	2.376	2.039	3.698
TCGA-CJ-4895-01	TCGA-CJ-4895-01	KIRC	Primary Tumor	2.373	2.828	3.761
TCGA-A3-3343-01	TCGA-A3-3343-01	KIRC	Primary Tumor	2.37	1.412	3.615
TCGA-BP-4967-01	TCGA-BP-4967-01	KIRC	Primary Tumor	2.368	2.433	3.991
TCGA-B0-5711-01	TCGA-B0-5711-01	KIRC	Primary Tumor	2.365	2.227	4.052
TCGA-B0-4814-01	TCGA-B0-4814-01	KIRC	Primary Tumor	2.359	2.878	3.406
TCGA-CJ-5677-01	TCGA-CJ-5677-01	KIRC	Primary Tumor	2.356	2.015	3.041
TCGA-BP-5202-01	TCGA-BP-5202-01	KIRC	Primary Tumor	2.356	1.993	4.415
TCGA-A3-3358-01	TCGA-A3-3358-01	KIRC	Primary Tumor	2.354	2.422	3.789
TCGA-BP-5189-01	TCGA-BP-5189-01	KIRC	Primary Tumor	2.354	2.334	3.936
TCGA-BP-4176-01	TCGA-BP-4176-01	KIRC	Primary Tumor	2.354	1.903	3.929
TCGA-B4-5834-01	TCGA-B4-5834-01	KIRC	Primary Tumor	2.354	1.696	3.972
TCGA-AK-3434-01	TCGA-AK-3434-01	KIRC	Primary Tumor	2.354	1.293	2.87
TCGA-B0-5081-01	TCGA-B0-5081-01	KIRC	Primary Tumor	2.351	1.719	2.651
TCGA-BP-5169-01	TCGA-BP-5169-01	KIRC	Primary Tumor	2.351	0.9716	0.7146
TCGA-BP-4804-01	TCGA-BP-4804-01	KIRC	Primary Tumor	2.339	1.86	3.038
TCGA-B8-A54K-01	TCGA-B8-A54K-01	KIRC	Primary Tumor	2.337	3.345	3.913
TCGA-BP-5186-01	TCGA-BP-5186-01	KIRC	Primary Tumor	2.334	2.033	4.211
TCGA-BP-4959-01	TCGA-BP-4959-01	KIRC	Primary Tumor	2.334	1.05	3.966
TCGA-B4-5844-01	TCGA-B4-5844-01	KIRC	Primary Tumor	2.334	1.029	4.268
TCGA-BP-4338-01	TCGA-BP-4338-01	KIRC	Primary Tumor	2.331	1.971	3.31
TCGA-BP-4343-01	TCGA-BP-4343-01	KIRC	Primary Tumor	2.325	3.639	4.477
TCGA-B2-4099-01	TCGA-B2-4099-01	KIRC	Primary Tumor	2.322	1.892	4.18
TCGA-DV-5567-01	TCGA-DV-5567-01	KIRC	Primary Tumor	2.319	2.467	4.372
TCGA-A3-3323-01	TCGA-A3-3323-01	KIRC	Primary Tumor	2.311	2.611	3.774
TCGA-B0-5812-01	TCGA-B0-5812-01	KIRC	Primary Tumor	2.308	2.078	4.179
TCGA-B0-4707-01	TCGA-B0-4707-01	KIRC	Primary Tumor	2.308	1.501	1.934
TCGA-A3-3352-01	TCGA-A3-3352-01	KIRC	Primary Tumor	2.305	2.199	3.568
TCGA-BP-5174-01	TCGA-BP-5174-01	KIRC	Primary Tumor	2.305	1.439	3.108
TCGA-B0-4696-01	TCGA-B0-4696-01	KIRC	Primary Tumor	2.302	4.541	3.422
